id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
U12538,-57.4375,-34.14583333,17.19815625,9.318729167,40.55500551,480.0296918,29.49475,6.51675,22.978,22.71683333,11.38804167,23.13991667,11.38804167,1149.275169,119.7963891,70.55021596,16.2827102,323.5277505,222.5783293,307.3948529,222.5783293,
U12278,-57.52083333,-34.0625,17.12383333,9.350458333,40.60914349,481.8778571,29.432,6.4065,23.0255,22.64579167,11.28433333,23.07929167,11.28433333,1149.292582,122.006657,69.20412139,17.62114018,327.4687494,219.0066768,311.6584387,219.0066768,
U13359,-55.47916667,-34.39583333,16.70601042,10.12197917,44.24763851,455.0487906,29.08125,6.2055,22.87575,20.18208333,21.058875,22.23204167,11.15433333,1149.310329,105.6698689,87.66512204,5.54759695,299.3292437,273.9377101,278.0383421,279.4499183,
U12703,-55.9375,-34.1875,16.82139583,10.656,44.29894304,479.2080502,29.85425,5.7995,24.05475,20.30441667,10.98804167,22.64233333,10.98804167,1149.377686,110.6041649,87.27419965,7.157859142,304.739135,266.178855,291.2691086,266.178855,
U8913,-57.97916667,-32.97916667,18.01760417,11.43491667,44.49080964,494.5166061,31.55975,5.858,25.70175,21.36008333,11.95445833,24.02145833,11.95445833,1149.540696,124.4205239,64.27366579,21.14342445,348.4005162,203.6931418,336.4481458,203.6931418,363
U8264,-58.14583333,-32.77083333,18.2098125,11.51166667,45.20273167,483.1031009,31.67025,6.2035,25.46675,21.63008333,12.25895833,24.073,12.25895833,1149.616226,121.6096219,61.12914537,22.53564916,346.0016709,204.0167678,330.3456047,204.0167678,363
U14030,-54.39583333,-34.60416667,16.54370833,9.194333333,43.91847783,422.9305838,27.57275,6.63775,20.935,11.448125,20.39804167,21.68108333,11.448125,1149.63733,105.6265575,74.90871104,9.837955048,311.362372,248.790032,272.4274524,311.362372,
U13907,-54.14583333,-34.5625,16.49635417,9.252541667,44.30551233,421.031234,27.417,6.5335,20.8835,11.424875,20.3045,21.59720833,11.424875,1149.673142,109.108044,72.26530476,11.48128272,314.651351,245.9916463,275.6705926,314.651351,
U13356,-55.60416667,-34.39583333,16.62128125,10.13885417,44.16694801,459.287287,29.01975,6.064,22.95575,20.09541667,21.04483333,22.20654167,11.023125,1149.678361,105.6205355,88.62587029,5.409996373,299.5876486,275.8183353,280.6660178,281.0267242,
U12018,-57.60416667,-33.97916667,17.20232292,9.4523125,40.75590169,484.1279552,29.576,6.3835,23.1925,22.72154167,11.32791667,23.174125,11.32791667,1149.768917,124.3266636,67.23188599,19.23192547,333.7112851,212.5918438,316.8162978,212.5918438,
U13357,-55.5625,-34.39583333,16.66904167,10.120625,44.178953,457.7557929,29.045,6.13675,22.90825,20.13954167,21.06991667,22.23433333,11.0905,1149.951509,105.7286625,88.34312685,5.473187604,299.3132367,274.9217878,279.4941376,281.974793,
U12568,-56.1875,-34.14583333,16.81073958,10.73614583,44.02992088,489.6830685,30.05725,5.6735,24.38375,20.29341667,10.85875,22.75275,10.85875,1150.00832,113.8166019,84.55437671,7.918565476,303.4535243,263.598386,292.2252785,263.598386,
U9043,-57.9375,-33.02083333,18.063375,11.39270833,44.3572198,497.2910798,31.60325,5.91925,25.684,21.39220833,11.97208333,24.11225,11.97208333,1150.080856,127.4044043,65.93425488,21.15391688,349.8900207,205.3845661,337.6489449,205.3845661,363
U8303,-56.52083333,-32.77083333,17.98882292,11.15310417,43.53875107,500.7744047,31.61275,5.99625,25.6165,23.657125,11.87445833,24.08154167,11.87445833,1150.373991,122.7686895,55.84941404,19.98254258,325.9827076,208.3934823,314.1178699,208.3934823,363
U10984,-57.6875,-33.64583333,17.4163125,10.229,42.13973799,491.1449539,30.31875,6.04475,24.274,22.98120833,11.45604167,23.45879167,11.45604167,1150.385596,122.6329195,64.26089394,20.62765388,344.3762378,205.032996,322.882683,205.032996,
U12697,-56.1875,-34.1875,16.77352083,10.730375,44.17291879,487.3648409,29.95275,5.661,24.29175,19.24608333,10.856,22.701,10.856,1150.405608,113.734539,84.404524,7.842048302,303.7874578,264.0577837,291.7390462,264.0577837,
U12811,-56.8125,-34.22916667,17.12547917,10.584125,43.36689748,485.5122892,30.48475,6.07875,24.406,19.50158333,12.062375,23.1825,11.33758333,1150.451538,119.1512645,73.26160634,16.52249655,326.8968999,245.9745948,283.7752986,248.0072649,
U12700,-56.0625,-34.1875,16.88079167,10.671875,44.21650681,482.7340035,29.98125,5.84575,24.1355,20.34916667,11.00954167,22.74470833,11.00954167,1150.537535,112.6711011,86.31490158,7.619480499,304.9611463,264.6451128,291.3906683,264.6451128,
U9692,-57.77083333,-33.22916667,17.7611875,11.08283333,43.8589722,495.9747129,31.1185,5.84925,25.26925,23.331625,11.71479167,23.80966667,11.71479167,1150.54687,126.1720157,64.30966555,21.4270764,347.2414508,199.5726321,337.4464193,199.5726321,363
U8175,-56.47916667,-32.72916667,17.89414583,11.20483333,43.85324632,498.2779577,31.49275,5.942,25.55075,23.54375,11.818,23.95645833,11.818,1150.729969,124.8421451,53.91855328,21.16977313,330.3323604,205.245699,313.2306918,205.245699,363
U14266,-55.3125,-34.6875,15.88694792,8.9661875,43.07353718,430.3189931,26.995,6.179,20.816,13.66654167,21.10245833,21.10245833,10.65341667,1150.839659,115.8570546,85.57783953,9.692380528,311.4361833,262.5328867,262.5328867,301.6425704,
U14028,-54.47916667,-34.60416667,16.31571875,9.0854375,43.61079777,422.3338504,27.27675,6.44375,20.833,11.2195,20.176625,21.4395,11.2195,1150.875783,104.175267,78.38775411,8.668831625,307.1951781,251.7086633,272.8292542,307.1951781,
