id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
YRK32,29.7,-25.02,17.17966667,14.91375,61.72590408,343.2984179,26.99275,2.8315,24.16125,20.24866667,12.47729167,20.72191667,12.47729167,640.4448579,121.8304493,1.485847216,84.06121605,337.0943361,14.10194603,325.1939373,14.10194603,808
YRK33,29.57,-23.15,20.48163542,14.4933125,58.41604361,377.5383153,30.416,5.6055,24.8105,24.02633333,15.270375,24.27979167,15.270375,375.1443058,67.18808487,1.377723735,84.33378835,193.3179434,11.50999211,190.5755518,11.50999211,788
YRK34,29.38,-23.08,18.99134375,13.83877083,58.67988565,359.985494,28.56675,4.98325,23.5835,22.62733333,14.02145833,22.62733333,14.02145833,557.9194248,108.0917201,4.931004827,85.32249589,305.4414047,20.40247524,305.4414047,20.40247524,771
YRK35,30.28,-22.98,17.85739583,11.18391667,58.5185379,280.484165,26.13175,7.02,19.11175,20.65575,14.02704167,20.78433333,14.02704167,1247.031618,277.1254654,13.07366768,86.41388493,705.5175795,60.38627907,598.2146832,60.38627907,779
YRK36,30.15,-23.95,19.41014583,12.84745833,60.55908428,301.5749773,27.76475,6.55,21.21475,22.45770833,15.22966667,22.45770833,15.22966667,1031.420302,200.7176771,8.909161922,84.36567509,551.5695386,39.91069893,551.5695386,39.91069893,769
YRK37,30.2,-23.07,20.56971875,11.9943125,57.59159004,323.5592704,29.24425,8.41775,20.8265,23.85370833,16.14720833,23.85370833,16.14720833,1055.163105,235.3671447,14.88465661,86.15005342,590.5529163,54.35477307,590.5529163,54.35477307,803
YRK38,30.85,-24.18,22.5153125,13.79795833,60.65769855,315.9009086,32.107,9.35975,22.74725,25.9535,18.25658333,25.9535,18.25658333,510.302675,94.88303232,5.972873968,80.03692145,259.6686513,19.94688488,259.6686513,19.94688488,804
YRK39,30.4,-22.95,20.71263542,11.5675625,58.62559392,307.2413776,28.93875,9.2075,19.73125,23.81025,16.406625,23.81025,16.406625,846.9585537,176.8503993,10.24079276,85.12889841,468.741643,40.92054736,468.741643,40.92054736,809
YRK40,29.45,-23.87,18.79258333,13.45708333,56.64530432,381.9850034,28.36525,4.6085,23.75675,22.30266667,13.5155,22.6945,13.5155,460.0935278,90.57543903,2.327493115,86.27319365,246.3579832,9.309448604,226.0699485,9.309448604,793
YRK41,31.02,-22.68,23.13816667,13.47791667,62.58319403,289.2614951,32.8435,11.3075,21.536,26.16883333,19.24070833,26.16883333,19.24070833,467.9314325,100.1984262,2.886580782,90.63901836,272.0473003,11.98725837,272.0473003,11.98725837,793
YRK42,30.02,-23,19.08945833,11.9925,56.47050514,327.1914913,28.01225,6.7755,21.23675,21.57525,14.64254167,22.40475,14.64254167,912.9935819,204.0446761,11.11230187,87.01425637,503.4476196,40.23250908,417.7523583,40.23250908,789
