id,lon,lat,,,,,,,,,,,,,,,,,,,,
YRK25285,30.79515449,-24.86374479,,,,,,,,,,,,,,,,,,,,
YRK25286,30.79186097,-24.86401936,,,,,,,,,,,,,,,,,,,,
YRK25287,30.78794272,-24.85983124,,,,,,,,,,,,,,,,,,,,
YRK25288,30.78999577,-24.86492583,,,,,,,,,,,,,,,,,,,,
YRK25289,30.78993769,-24.86971993,,,,,,,,,,,,,,,,,,,,
YRK25290,30.79851069,-24.86948868,,,,,,,,,,,,,,,,,,,,
YRK25291,30.79651157,-24.87150763,,,,,,,,,,,,,,,,,,,,
YRK25292,30.79922211,-24.88028138,,,,,,,,,,,,,,,,,,,,
YRK25293,30.79711495,-24.87846331,,,,,,,,,,,,,,,,,,,,
YRK25296,30.7900135,-24.87806429,,,,,,,,,,,,,,,,,,,,
YRK25297,30.79503617,-24.87800826,,,,,,,,,,,,,,,,,,,,
YRK25298,30.79551346,-24.87390049,,,,,,,,,,,,,,,,,,,,
YRK25300,30.78543216,-24.88152761,,,,,,,,,,,,,,,,,,,,
YRK25302,30.78229026,-24.8864003,,,,,,,,,,,,,,,,,,,,
YRK25303,30.77506304,-24.88500164,,,,,,,,,,,,,,,,,,,,
YRK25304,30.77629621,-24.88214909,,,,,,,,,,,,,,,,,,,,
YRK25306,30.78168768,-24.87204203,,,,,,,,,,,,,,,,,,,,
YRK25307,30.77562477,-24.87597177,,,,,,,,,,,,,,,,,,,,
YRK25309,30.77272376,-24.88096903,,,,,,,,,,,,,,,,,,,,
YRK25310,30.77087859,-24.88304246,,,,,,,,,,,,,,,,,,,,
YRK25311,30.77600878,-24.88701736,,,,,,,,,,,,,,,,,,,,
YRK25312,30.77172426,-24.88851707,,,,,,,,,,,,,,,,,,,,
YRK25313,30.77067608,-24.88617709,,,,,,,,,,,,,,,,,,,,
YRK25314,30.81052029,-24.87090784,,,,,,,,,,,,,,,,,,,,
YRK25315,30.81382139,-24.87250096,,,,,,,,,,,,,,,,,,,,
YRK25316,30.81399018,-24.87752449,,,,,,,,,,,,,,,,,,,,
YRK25317,30.80999395,-24.87462823,,,,,,,,,,,,,,,,,,,,
YRK25318,30.81205832,-24.87402154,,,,,,,,,,,,,,,,,,,,
YRK25319,30.8078324,-24.87616975,,,,,,,,,,,,,,,,,,,,
YRK25320,30.80684078,-24.8716147,,,,,,,,,,,,,,,,,,,,
YRK25321,30.80236217,-24.87073627,,,,,,,,,,,,,,,,,,,,
YRK25325,30.78750588,-24.85679692,,,,,,,,,,,,,,,,,,,,
YRK25326,30.79516849,-24.85685042,,,,,,,,,,,,,,,,,,,,
YRK25329,30.80547421,-24.90409544,,,,,,,,,,,,,,,,,,,,
YRK25330,30.80675827,-24.90054705,,,,,,,,,,,,,,,,,,,,
YRK25331,30.80646268,-24.89735328,,,,,,,,,,,,,,,,,,,,
YRK25332,30.80484348,-24.89996471,,,,,,,,,,,,,,,,,,,,
YRK25333,30.8051645,-24.88619259,,,,,,,,,,,,,,,,,,,,
YRK25334,30.80473313,-24.90291525,,,,,,,,,,,,,,,,,,,,
YRK25335,30.80514375,-24.90124349,,,,,,,,,,,,,,,,,,,,
YRK25336,30.80936276,-24.90005655,,,,,,,,,,,,,,,,,,,,
YRK25337,30.802197,-24.89883537,,,,,,,,,,,,,,,,,,,,
YRK25338,30.80397106,-24.89444245,,,,,,,,,,,,,,,,,,,,
YRK25339,30.80194793,-24.89245927,,,,,,,,,,,,,,,,,,,,
YRK25340,30.80320574,-24.88664875,,,,,,,,,,,,,,,,,,,,
YRK25341,30.79970409,-24.88753934,,,,,,,,,,,,,,,,,,,,
YRK25342,30.79911862,-24.88905945,,,,,,,,,,,,,,,,,,,,
YRK25343,30.79484424,-24.88688478,,,,,,,,,,,,,,,,,,,,
YRK25344,30.79501204,-24.88415732,,,,,,,,,,,,,,,,,,,,
YRK25345,30.79328685,-24.88651723,,,,,,,,,,,,,,,,,,,,
YRK25346,30.79226387,-24.88304855,,,,,,,,,,,,,,,,,,,,
YRK25347,30.79798134,-24.8876917,,,,,,,,,,,,,,,,,,,,
YRK25348,30.79269838,-24.88916093,,,,,,,,,,,,,,,,,,,,
YRK25349,30.79338041,-24.8922025,,,,,,,,,,,,,,,,,,,,
YRK25351,30.79109792,-24.8920609,,,,,,,,,,,,,,,,,,,,
YRK25352,30.78993452,-24.88547238,,,,,,,,,,,,,,,,,,,,
YRK25353,30.7859314,-24.886418,,,,,,,,,,,,,,,,,,,,
YRK25354,30.77985729,-24.88936281,,,,,,,,,,,,,,,,,,,,
YRK25355,30.80212991,-24.90796668,,,,,,,,,,,,,,,,,,,,
YRK25356,30.80250154,-24.91160504,,,,,,,,,,,,,,,,,,,,
YRK25357,30.79868368,-24.9155416,,,,,,,,,,,,,,,,,,,,
YRK25358,30.78673446,-24.91349647,,,,,,,,,,,,,,,,,,,,
YRK25359,30.79217719,-24.91265395,,,,,,,,,,,,,,,,,,,,
YRK25360,30.79521151,-24.9089687,,,,,,,,,,,,,,,,,,,,
YRK25361,30.79698265,-24.91345118,,,,,,,,,,,,,,,,,,,,
YRK25362,30.79745252,-24.90498783,,,,,,,,,,,,,,,,,,,,
YRK25363,30.79444526,-24.90869019,,,,,,,,,,,,,,,,,,,,
YRK25364,30.78829621,-24.90787065,,,,,,,,,,,,,,,,,,,,
YRK25365,30.79403032,-24.90379699,,,,,,,,,,,,,,,,,,,,
YRK25366,30.79171024,-24.90645465,,,,,,,,,,,,,,,,,,,,
YRK25367,30.79158023,-24.90334541,,,,,,,,,,,,,,,,,,,,
YRK25368,30.79506413,-24.90635674,,,,,,,,,,,,,,,,,,,,
YRK25369,30.79502262,-24.90129295,,,,,,,,,,,,,,,,,,,,
